ESTIMATEDTOTALACRES,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,SPRUCE,MUNDRA,GRASS,BRUSH,HARD,LEAF,UNKNOWN,OTHER
0.2,0-25,W,501-1500,1,0,0,0,0,0,0,0
6720,0-25,W,1501-2500,0,0,0,0,1,0,0,0
0.1,0-25,S,1501-2500,1,0,0,0,0,0,0,0
9316,0-25,NE,1501-2500,0,0,0,0,1,0,0,0
1.5,0-25,N,1501-2500,1,0,0,0,0,0,0,0
0.2,0-25,N,1501-2500,1,0,0,0,0,0,0,0
39.3,0-25,E,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,SE,501-1500,0,0,1,0,0,0,0,0
0.2,0-25,E,501-1500,1,0,0,0,0,0,0,0
33893.4,0-25,S,1501-2500,1,0,0,0,0,0,0,0
1409.8,0-25,SW,501-1500,1,0,0,0,0,0,0,0
7603.3,0-25,SW,1501-2500,1,0,0,0,0,0,0,0
2,0-25,SE,1501-2500,1,0,0,0,0,0,0,0
9,0-25,SE,1501-2500,1,0,0,0,0,0,0,0
8.7,0-25,NW,501-1500,1,0,0,0,0,0,0,0
1,0-25,NE,2501-3500,0,0,0,0,1,0,0,0
0.2,0-25,NE,501-1500,1,0,0,0,0,0,0,0
16.9,0-25,NW,501-1500,0,0,0,0,1,0,0,0
1860.2,0-25,North West,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,W,3501-4500,1,0,0,0,0,0,0,0
0.2,0-25,NW,501-1500,1,0,0,0,0,0,0,0
129.7,0-25,W,1501-2500,0,0,0,0,1,0,0,0
33.6,0-25,S,501-1500,0,0,0,0,1,0,0,0
168.4,0-25,SW,1501-2500,0,0,1,0,0,0,0,0
506.2,0-25,W,1501-2500,0,0,0,0,1,0,0,0
8858,0-25,NW,0-500,1,0,0,0,0,0,0,0
2,0-25,NW,501-1500,0,0,0,0,1,0,0,0
0.2,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
0.2,0-25,SW,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,S,501-1500,1,0,0,0,0,0,0,0
210,0-25,Flat,1501-2500,0,1,0,1,0,0,0,0
68.1,0-25,E,501-1500,1,0,0,0,0,0,0,0
13.9,0-25,Flat,1501-2500,1,1,0,0,0,0,0,0
310.2,0-25,Flat,0-500,0,1,1,0,0,0,0,0
54,0-25,E,1501-2500,1,0,0,0,0,0,0,0
2,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
54,0-25,E,1501-2500,0,0,0,0,1,0,0,0
1.1,0-25,North,1501-2500,0,1,0,0,0,0,0,0
9,0-25,NE,1501-2500,0,0,0,0,1,0,0,0
889.1,0-25,E,1501-2500,0,0,0,0,1,0,0,0
138.1,0-25,North East,1501-2500,0,1,0,0,0,0,0,0
0.1,0-25,S,501-1500,0,0,0,0,0,0,1,0
13792,0-25,W,501-1500,0,0,0,0,1,0,0,0
4963.2,0-25,W,501-1500,0,0,0,0,1,0,0,0
48792.1,0-25,SE,501-1500,0,0,1,0,0,0,0,0
76.2,0-25,Flat,1501-2500,1,0,0,0,1,0,0,0
0.5,0-25,NW,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,S,1501-2500,0,0,0,0,1,0,0,0
0.1,0-25,NE,0-500,0,0,0,0,1,0,0,0
0.1,0-25,W,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,Unknown,1,0,0,0,0,0,0,0
0.1,0-25,SE,501-1500,1,0,0,0,0,0,0,0
0.1,0-25,SE,0-500,0,0,1,0,0,0,0,0
0.1,0-25,W,0-500,0,0,1,0,0,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.2,0-25,NE,501-1500,0,0,0,0,1,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.1,41-55,E,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,NE,501-1500,0,0,1,0,0,0,0,0
0.1,0-25,SE,1501-2500,0,0,0,0,1,0,0,0
0.1,0-25,E,2501-3500,0,0,1,0,0,0,0,0
0.1,0-25,Unknown,501-1500,0,0,0,0,0,0,0,1
1.3,0-25,SW,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,E,501-1500,0,0,1,0,0,0,0,0
85.2,0-25,NW,1501-2500,0,0,1,0,0,0,0,0
0.1,0-25,E,0-500,0,0,1,0,0,0,0,0
0.2,0-25,W,501-1500,0,0,0,0,1,0,0,0
0.3,0-25,NE,501-1500,0,0,0,0,1,0,0,0
0.2,0-25,SW,1501-2500,1,0,0,0,0,0,0,0
0.2,76+,S,2501-3500,0,0,0,0,1,0,0,0
41.6,0-25,S,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,N,0-500,0,0,1,0,0,0,0,0
0.1,0-25,W,0-500,0,0,0,0,0,0,0,1
0.1,0-25,W,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,E,501-1500,0,0,1,0,0,0,0,0
1.2,0-25,Flat,501-1500,1,0,0,0,0,0,0,0
0.3,0-25,W,0-500,1,0,0,0,0,0,0,0
0.1,0-25,SE,0-500,0,0,0,0,0,0,0,1
507.9,0-25,NW,1501-2500,1,0,0,0,0,0,0,0
